CPH-L-123. Counties Ranked by Median Household Income Within the United States and Within the State: 1989




-----------------------------------------------------------
                                        Median,Rank,Rank
County/State,household,in,in
                                        income,U.S. state
-----------------------------------------------------------

"Autauga County, AL","$28,337",622,4
"Baldwin County, AL","$25,712",973,9
"Barbour County, AL","$19,389",2422,44
"Bibb County, AL","$19,775",2338,42
"Blount County, AL","$22,382",1662,18
"Bullock County, AL","$14,745",3033,62
"Butler County, AL","$16,054",2940,58
"Calhoun County, AL","$23,802",1337,14
"Chambers County, AL","$21,256",1975,30
"Cherokee County, AL","$21,368",1953,29
"Chilton County, AL","$21,627",1866,25
"Choctaw County, AL","$17,115",2826,55
"Clarke County, AL","$19,067",2487,46
"Clay County, AL","$19,252",2447,45
"Cleburne County, AL","$21,158",2005,32
"Coffee County, AL","$23,905",1316,13
"Colbert County, AL","$22,378",1663,19
"Conecuh County, AL","$15,992",2944,59
"Coosa County, AL","$20,279",2223,37
"Covington County, AL","$18,394",2614,50
"Crenshaw County, AL","$16,460",2899,57
"Cullman County, AL","$21,672",1852,24
"Dale County, AL","$24,091",1286,12
"Dallas County, AL","$16,493",2897,56
"DeKalb County, AL","$20,135",2258,38
"Elmore County, AL","$26,341",867,7
"Escambia County, AL","$18,472",2597,48
"Etowah County, AL","$22,314",1684,20
"Fayette County, AL","$19,844",2329,41
"Franklin County, AL","$17,907",2703,52
"Geneva County, AL","$20,027",2287,40
"Greene County, AL","$11,990",3124,67
"Hale County, AL","$14,508",3049,63
"Henry County, AL","$22,130",1736,21
"Houston County, AL","$24,813",1145,10
"Jackson County, AL","$21,910",1788,23
"Jefferson County, AL","$25,858",942,8
"Lamar County, AL","$20,618",2145,35
"Lauderdale County, AL","$23,690",1364,15
"Lawrence County, AL","$21,519",1899,26
"Lee County, AL","$21,227",1981,31
"Limestone County, AL","$26,875",795,5
"Lowndes County, AL","$15,584",2980,61
"Macon County, AL","$15,642",2972,60
"Madison County, AL","$33,048",259,2
"Marengo County, AL","$18,663",2564,47
"Marion County, AL","$18,455",2603,49
"Marshall County, AL","$21,458",1922,27
"Mobile County, AL","$22,994",1513,17
"Monroe County, AL","$21,140",2009,33
"Montgomery County, AL","$26,551",838,6
"Morgan County, AL","$28,364",617,3
"Perry County, AL","$13,769",3081,64
"Pickens County, AL","$17,879",2706,53
"Pike County, AL","$17,312",2792,54
"Randolph County, AL","$19,440",2401,43
"Russell County, AL","$20,995",2040,34
"St. Clair County, AL","$24,106",1284,11
"Shelby County, AL","$36,852",154,1
"Sumter County, AL","$12,811",3110,65
"Talladega County, AL","$21,378",1948,28
"Tallapoosa County, AL","$22,020",1771,22
"Tuscaloosa County, AL","$23,056",1494,16
"Walker County, AL","$20,464",2178,36
"Washington County, AL","$20,082",2275,39
"Wilcox County, AL","$12,437",3119,66
"Winston County, AL","$17,936",2698,51
"Aleutians East Borough, AK","$42,384",74,10
"Aleutians West Census Area, AK","$35,187",201,17
"Anchorage Borough, AK","$43,946",53,7
"Bethel Census Area, AK","$25,402",1034,22
"Bristol Bay Borough, AK","$51,112",13,1
"Dillingham Census Area, AK","$28,779",568,21
"Fairbanks North Star Borough, AK","$37,468",137,15
"Haines Borough, AK","$36,048",175,16
"Juneau Borough, AK","$47,924",27,3
"Kenai Peninsula Borough, AK","$42,403",73,9
"Ketchikan Gateway Borough, AK","$45,172",44,5
"Kodiak Island Borough, AK","$44,815",48,6
"Lake and Peninsula Borough, AK","$25,231",1070,23
"Matanuska-Susitna Borough, AK","$40,745",92,12
"Nome Census Area, AK","$30,144",453,20
"North Slope Borough, AK","$50,473",16,2
"Northwest Arctic Borough, AK","$33,313",246,18
"Prince of Wales-Outer Ketchikan Census $39,495",107,13
"Sitka Borough, AK","$43,337",63,8
"Skagway-Yakutat-Angoon Census Area, AK $38,583",121,14
"Southeast Fairbanks Census Area, AK","$30,222",444,19
"Valdez-Cordova Census Area, AK","$47,500",29,4
"Wade Hampton Census Area, AK","$20,586",2153,25
"Wrangell-Petersburg Census Area, AK","$42,020",79,11
"Yukon-Koyukuk Census Area, AK","$23,945",1310,24
"Apache County, AZ","$14,100",3065,15
"Cochise County, AZ","$22,425",1645,7
"Coconino County, AZ","$26,112",896,3
"Gila County, AZ","$20,964",2046,11
"Graham County, AZ","$18,455",2604,13
